,data_loss,physic_loss,
65,0.062613845,6.39E-05,2.990875388
66,0.062590845,7.67E-05,2.911910351
67,0.062556632,7.95E-05,2.896065001
68,0.062514998,7.29E-05,2.933209436
69,0.062470194,5.95E-05,3.021119178
70,0.062426385,4.28E-05,3.164261667
71,0.062387086,2.62E-05,3.376505508
72,0.06235487,1.27E-05,3.692219085
73,0.062331103,3.81E-06,4.21370567
74,0.062316004,1.48E-07,5.623617107
75,0.062308792,1.15E-06,4.735738218
76,0.062307931,5.55E-06,4.050414322
77,0.062311485,1.18E-05,3.724485417
78,0.062317409,1.81E-05,3.536050126
79,0.062323801,2.33E-05,3.426513439
80,0.062329154,2.64E-05,3.372514937
81,0.062332436,2.70E-05,3.363527329
82,0.062333133,2.51E-05,3.395534413
83,0.062331233,2.12E-05,3.469050153
84,0.062327068,1.60E-05,3.589388236
85,0.062321242,1.06E-05,3.769225286
86,0.062314492,5.72E-06,4.037014768
87,0.062307511,2.12E-06,4.468772828
88,0.062300913,2.38E-07,5.417950988
89,0.062295102,2.18E-07,5.455203263
90,0.062290322,1.88E-06,4.520748932
91,0.062286597,4.78E-06,4.115293899
92,0.062283795,8.31E-06,3.874895298
93,0.062281713,1.18E-05,3.721861566
94,0.062280104,1.47E-05,3.626662121
95,0.062278714,1.66E-05,3.575213586
96,0.062277388,1.71E-05,3.560168176
97,0.062276006,1.65E-05,3.577730827
98,0.062274534,1.47E-05,3.626407513
99,0.062273011,1.22E-05,3.706605368
100,0.062271476,9.41E-06,3.820734645
101,0.062270008,6.61E-06,3.974007425
102,0.062268659,4.15E-06,4.176233389
103,0.062267434,2.23E-06,4.446870576
104,0.062266339,9.21E-07,4.830207552
105,0.062265314,2.13E-07,5.465536404
106,0.062264316,2.55E-10,8.3885492
107,0.062263265,1.33E-07,5.671252727
108,0.062262114,4.49E-07,5.141935218
109,0.062260818,8.04E-07,4.888968677
110,0.062259372,1.09E-06,4.757449986
111,0.062257778,1.24E-06,4.701294145
112,0.062256087,1.24E-06,4.702063132
113,0.062254332,1.10E-06,4.752576631
114,0.062252596,8.75E-07,4.852156433
115,0.062250901,6.13E-07,5.006433582
116,0.062249295,3.66E-07,5.230148722
117,0.062247802,1.72E-07,5.558296203
118,0.062246408,5.02E-08,6.093230809
119,0.062245116,1.96E-09,7.502078604
120,0.062243875,1.32E-08,6.671920244
121,0.062242676,6.08E-08,6.010470782
122,0.062241476,1.19E-07,5.719382493
123,0.062240247,1.65E-07,5.575824902
124,0.062238973,1.86E-07,5.523712037
125,0.062237643,1.78E-07,5.544328784
126,0.062236268,1.44E-07,5.635334595
127,0.06223486,9.66E-08,5.808947812
128,0.062233433,4.90E-08,6.103796723
129,0.062231991,1.39E-08,6.650908073
130,0.062230553,5.65E-11,9.042232609
131,0.062229149,1.06E-08,6.76884057
132,0.06222776,4.29E-08,6.16151459
133,0.062226396,8.97E-08,5.840958847
134,0.062225044,1.41E-07,5.643860201
135,0.062223718,1.87E-07,5.521197455
136,0.062222395,2.20E-07,5.452174626
137,0.062221084,2.33E-07,5.426638428
138,0.062219761,2.26E-07,5.439521501
139,0.06221845,2.02E-07,5.489374288
140,0.062217135,1.65E-07,5.577466766
141,0.062215816,1.22E-07,5.708208777
142,0.062214501,7.99E-08,5.89119897
143,0.062213186,4.45E-08,6.14596565
144,0.062211879,1.89E-08,6.517630193
145,0.062210567,4.39E-09,7.15136758
146,0.06220926,4.10E-13,11.18069884
147,0.062207948,3.21E-09,7.28790391
148,0.062206641,1.07E-08,6.764380627
149,0.06220533,1.92E-08,6.510455659
150,0.062204015,2.61E-08,6.37772992
151,0.062202707,2.97E-08,6.321710234
152,0.062201388,2.95E-08,6.324045004
153,0.062200069,2.61E-08,6.377652421
154,0.062198758,2.05E-08,6.482149386
155,0.062197436,1.42E-08,6.642915316
156,0.062196124,8.31E-09,6.874319091
157,0.062194809,3.83E-09,7.210759675
158,0.062193494,1.10E-09,7.751831812
159,0.062192187,4.87E-11,9.106293144
160,0.062190875,2.35E-10,8.421736767
161,0.062189557,1.07E-09,7.765111483
162,0.062188234,1.98E-09,7.498125172
163,0.062186923,2.54E-09,7.389131574
164,0.0621856,2.57E-09,7.383516558
165,0.062184278,2.12E-09,7.468338455
166,0.062182952,1.37E-09,7.656705319
167,0.062181629,6.19E-10,8.001915277
168,0.062180299,1.15E-10,8.733333359
169,0.062178973,1.84E-11,9.529106605
170,0.062177651,3.60E-10,8.236845661
171,0.06217631,1.04E-09,7.775259639
172,0.062174983,1.89E-09,7.518032263
173,0.062173653,2.68E-09,7.366225899
174,0.062172316,3.22E-09,7.285681965
175,0.062170982,3.40E-09,7.262249166
176,0.062169649,3.20E-09,7.2885517
177,0.062168311,2.68E-09,7.365151008
178,0.062166974,1.98E-09,7.497447735
179,0.062165633,1.24E-09,7.701345705
180,0.062164288,6.05E-10,8.011982887
181,0.062162947,1.81E-10,8.535927832
182,0.062161602,6.06E-12,10.01097703
183,0.062160246,6.07E-11,9.01045884
184,0.062158894,2.80E-10,8.346217326
185,0.062157545,5.73E-10,8.035201478
186,0.062156189,8.53E-10,7.86253741
187,0.062154837,1.05E-09,7.773033548
188,0.062153473,1.12E-09,7.744725511
189,0.06215211,1.06E-09,7.766307567
190,0.06215075,9.09E-10,7.835032717
191,0.062149387,6.98E-10,7.949769295
192,0.062148016,4.75E-10,8.116993765
193,0.062146649,2.77E-10,8.351335642
194,0.062145274,1.30E-10,8.679314811
195,0.0621439,4.18E-11,9.171787053
196,0.062142517,4.66E-12,10.12499769
197,0.062141135,1.94E-12,10.50591592
198,0.062139753,1.52E-11,9.61046484
199,0.062138371,2.92E-11,9.327405542
200,0.062136982,3.49E-11,9.250769293
201,0.062135592,2.98E-11,9.318948569
202,0.062134203,1.81E-11,9.536737446
203,0.062132798,6.05E-12,10.01131258
204,0.062131401,8.17E-14,11.88112886
205,0.062129997,4.03E-12,10.18847865
206,0.0621286,1.77E-11,9.545093889
207,0.062127188,3.78E-11,9.21524757
208,0.06212578,5.94E-11,9.019832211
209,0.062124364,7.67E-11,8.908604243
210,0.062122945,8.47E-11,8.865378886
211,0.062121529,8.26E-11,8.876340227
212,0.062120106,7.03E-11,8.945982543
213,0.062118683,5.22E-11,9.075550427
214,0.062117256,3.24E-11,9.282470684
215,0.062115822,1.55E-11,9.604026384
216,0.062114391,4.24E-12,10.16543149
217,0.062112946,6.02E-14,12.0136954
218,0.062111508,1.96E-12,10.49992283
219,0.062110063,7.91E-12,9.894981393
220,0.062108617,1.52E-11,9.612192185
221,0.062107157,2.14E-11,9.462013073
222,0.062105708,2.43E-11,9.407001115
223,0.062104251,2.41E-11,9.411894058
224,0.062102791,2.06E-11,9.478673623
225,0.062101331,1.52E-11,9.612311716
226,0.062099863,9.58E-12,9.811839531
227,0.062098391,4.55E-12,10.13543834
228,0.062096912,1.30E-12,10.67925372
229,0.062095437,4.02E-14,12.18867052
230,0.062093958,4.17E-13,11.17263094
231,0.062092464,1.70E-12,10.56249206
232,0.062090982,3.17E-12,10.2926251
233,0.062089492,4.18E-12,10.17201807
234,0.062087994,4.60E-12,10.13032161
235,0.062086497,4.07E-12,10.18366378
236,0.062084988,3.02E-12,10.31363052
237,0.062083483,1.92E-12,10.51063348
238,0.062081974,8.86E-13,10.84533096
239,0.062080462,2.72E-13,11.35759701
240,0.062078945,8.74E-15,12.85134872
241,0.062077418,6.20E-14,12.00038355
242,0.062075894,2.45E-13,11.4042066
243,0.062074367,4.27E-13,11.16221311
244,0.062072828,5.11E-13,11.08453981
245,0.062071286,4.35E-13,11.15408232
246,0.062069751,2.67E-13,11.36669394
247,0.062068205,1.01E-13,11.78947863
248,0.062066652,1.00E-15,13.79084911
249,0.062065102,7.86E-14,11.89717761
250,0.062063538,3.16E-13,11.29360558
251,0.062061977,6.89E-13,10.95454507
252,0.062060416,1.11E-12,10.74655717
253,0.062058844,1.46E-12,10.62976769
254,0.062057275,1.73E-12,10.554759
255,0.0620557,1.73E-12,10.55543504
256,0.062054116,1.44E-12,10.63453348
257,0.062052526,1.19E-12,10.71683679
258,0.062050935,7.62E-13,10.91075221
259,0.06204934,4.57E-13,11.13252413
260,0.062047735,1.70E-13,11.56118733
261,0.062046137,3.78E-14,12.21564297
262,0.062044524,3.71E-16,14.22291221
263,0.062042918,4.17E-14,12.17216718
264,0.062041294,1.18E-13,11.72070254
265,0.062039673,2.07E-13,11.47714765
266,0.062038049,2.50E-13,11.39453627
267,0.062036417,2.69E-13,11.36367873
268,0.062034786,2.50E-13,11.39545743
269,0.06203315,1.74E-13,11.55329052
270,0.062031507,1.26E-13,11.69238167
271,0.062029857,8.19E-14,11.87941674
272,0.062028203,5.30E-14,12.06867276
273,0.062026549,3.17E-14,12.29206432
274,0.062024884,1.46E-14,12.62787203
275,0.062023219,1.55E-14,12.60146883
276,0.06202155,2.56E-14,12.38393798
277,0.062019873,2.98E-14,12.31809166
278,0.062018193,6.07E-14,12.00935805
279,0.062016506,9.85E-14,11.79912243
280,0.062014818,1.48E-13,11.6219045
281,0.062013123,2.36E-13,11.41874126
282,0.062011424,3.18E-13,11.2894576
283,0.062009715,4.02E-13,11.18860321
284,0.062008005,4.84E-13,11.10787284
285,0.062006295,5.11E-13,11.08408345
286,0.062004574,5.25E-13,11.07229683
287,0.062002853,5.04E-13,11.08988837
288,0.06200112,4.72E-13,11.11807674
289,0.061999388,4.33E-13,11.15559919
290,0.061997648,4.13E-13,11.17670232
291,0.061995909,3.72E-13,11.22232687
292,0.061994154,3.38E-13,11.26390313
293,0.061992403,3.10E-13,11.30080845
294,0.061990637,3.08E-13,11.3039309
295,0.061988879,3.43E-13,11.2572323
296,0.061987106,3.95E-13,11.19547211
297,0.061985333,4.20E-13,11.16871938
298,0.061983552,4.75E-13,11.11542206
299,0.061981771,5.25E-13,11.07240231
300,0.061979983,5.66E-13,11.03934049
301,0.06197818,5.99E-13,11.01508476
302,0.061976377,6.71E-13,10.96521686
303,0.061974574,7.35E-13,10.92607185
304,0.06197276,6.92E-13,10.95181146
305,0.061970945,7.37E-13,10.92443966
306,0.06196912,8.02E-13,10.88811416
307,0.061967295,7.59E-13,10.91185922
308,0.061965462,8.39E-13,10.86840438
309,0.061963625,9.12E-13,10.83207937
310,0.061961778,9.20E-13,10.82819298
311,0.06195993,9.90E-13,10.79647683
312,0.061958075,9.92E-13,10.79563423
313,0.061956208,9.62E-13,10.80878036
314,0.061954338,9.97E-13,10.79330298
315,0.061952468,1.06E-12,10.76776942
316,0.061950598,1.11E-12,10.74703845
317,0.061948705,1.16E-12,10.7258618
318,0.061946813,1.17E-12,10.72368371
319,0.061944921,1.25E-12,10.6958412
320,0.061943021,1.31E-12,10.67368772
321,0.061941113,1.41E-12,10.64410204
322,0.061939199,1.49E-12,10.61789078
323,0.06193728,1.56E-12,10.59767398
324,0.061935358,1.62E-12,10.58281316
325,0.061933432,1.66E-12,10.57271662
