,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,2,3,1,2,111,2180,0.028,0.048,0.037,0.106,0.105,0.07,0.3428129851818084,0.7343738675117493,,False,1.0,30
0,0.001,0,3,3,1,2,111,2890,0.026,0.042,0.042,0.099,0.1,0.069,0.3402194678783417,0.742520272731781,,False,1.0,30
0,0.001,0,4,3,1,2,111,1700,0.031,0.047,0.048,0.112,0.096,0.075,0.3417151868343353,0.7415265440940857,,False,1.0,30
0,0.001,0,5,3,1,2,111,2240,0.025,0.042,0.044,0.094,0.099,0.071,0.3403747379779815,0.7423896789550781,,False,1.0,30
0,0.001,0,1,3,1,2,111,2110,0.02,0.036,0.056,0.075,0.091,0.072,0.3550902903079986,0.6255306601524353,,False,1.0,335
0,0.001,0,2,3,1,2,111,1520,0.022,0.064,0.038,0.077,0.101,0.059,0.3525519073009491,0.6530038714408875,,False,1.0,335
0,0.001,0,3,3,1,2,111,1590,0.025,0.028,0.05,0.089,0.077,0.059,0.3550741076469421,0.6273773908615112,,False,1.0,335
0,0.001,0,4,3,1,2,111,1590,0.021,0.036,0.051,0.08,0.095,0.07,0.3513135313987732,0.6549302935600281,,False,1.0,335
0,0.001,0,5,3,1,2,111,2500,0.026,0.029,0.024,0.083,0.083,0.061,0.35258948802948,0.6328009366989136,,False,1.0,335
0,0.001,0,1,5,1,2,215,1890,0.015,0.043,0.048,0.059,0.068,0.08,0.4167758226394653,0.7052459120750427,,False,0.1,339
0,0.001,0,2,5,1,2,215,2960,0.018,0.053,0.029,0.067,0.079,0.062,0.420177161693573,0.6997367143630981,,False,0.1,339
0,0.001,0,3,5,1,2,215,2880,0.019,0.044,0.024,0.073,0.08,0.056,0.4147051572799682,0.7073184847831726,,False,0.1,339
0,0.001,0,4,5,1,2,215,2330,0.019,0.041,0.038,0.071,0.072,0.058,0.4171581268310547,0.7025871276855469,,False,0.1,339
0,0.001,0,5,5,1,2,215,1570,0.02,0.042,0.023,0.079,0.075,0.064,0.4095438420772552,0.7001078724861145,,False,0.1,339
0,0.001,0,1,3,1,2,111,2240,0.02,0.084,0.058,0.079,0.151,0.073,0.3372501134872436,0.795174777507782,,False,1.0,33
0,0.001,0,2,3,1,2,111,1590,0.037,0.098,0.04,0.12,0.193,0.099,0.3450524508953094,0.772673487663269,,False,1.0,33
0,0.001,0,3,3,1,2,111,1520,0.034,0.073,0.071,0.118,0.195,0.089,0.3444978296756744,0.764936089515686,,False,1.0,33
0,0.001,0,4,3,1,2,111,1560,0.024,0.074,0.06,0.088,0.182,0.092,0.3384827971458435,0.7881731986999512,,False,1.0,33
0,0.001,0,5,3,1,2,111,2050,0.025,0.071,0.044,0.083,0.165,0.073,0.3371509313583374,0.7944231629371643,,False,1.0,33
0,0.001,0,1,5,1,9,215,2200,0.024,0.036,0.063,0.082,0.082,0.094,0.3105272948741913,0.6930150389671326,,False,1.0,341
0,0.001,0,2,5,1,9,215,2950,0.026,0.039,0.074,0.089,0.087,0.095,0.3121041357517242,0.6772670745849609,,False,1.0,341
0,0.001,0,3,5,1,9,215,2260,0.033,0.032,0.085,0.089,0.087,0.094,0.3148438036441803,0.6804401278495789,,False,1.0,341
0,0.001,0,4,5,1,9,215,1710,0.02,0.018,0.032,0.073,0.059,0.108,0.3181086778640747,0.6831367015838623,,False,1.0,341
0,0.001,0,5,5,1,9,215,2660,0.022,0.037,0.064,0.076,0.092,0.114,0.3109814524650574,0.6947385668754578,,False,1.0,341
0,0.001,0,1,3,1,2,111,2990,0.035,0.068,0.077,0.118,0.158,0.107,0.3350341618061065,0.8189297318458557,,False,1.0,362
0,0.001,0,2,3,1,2,111,2330,0.046,0.076,0.089,0.148,0.187,0.107,0.337979108095169,0.8080836534500122,,False,1.0,362
0,0.001,0,3,3,1,2,111,1730,0.039,0.065,0.088,0.129,0.162,0.114,0.336326390504837,0.8159386515617371,,False,1.0,362
0,0.001,0,4,3,1,2,111,2650,0.037,0.066,0.077,0.123,0.16,0.111,0.3345918655395508,0.8242015242576599,,False,1.0,362
0,0.001,0,5,3,1,2,111,2330,0.035,0.069,0.073,0.118,0.149,0.095,0.3349622786045074,0.8244011402130127,,False,1.0,362
0,0.001,0,1,3,1,2,111,1960,0.028,0.048,0.056,0.104,0.096,0.09,0.3412827253341675,0.7274345755577087,,False,1.0,5
0,0.001,0,2,3,1,2,111,1810,0.033,0.051,0.058,0.117,0.107,0.076,0.3444731533527374,0.7194992303848267,,False,1.0,5
0,0.001,0,3,3,1,2,111,1960,0.031,0.05,0.055,0.113,0.105,0.082,0.3426671922206878,0.7227803468704224,,False,1.0,5
0,0.001,0,4,3,1,2,111,1590,0.035,0.055,0.061,0.118,0.086,0.088,0.3420523703098297,0.7291135787963867,,False,1.0,5
0,0.001,0,5,3,1,2,111,1700,0.032,0.049,0.055,0.112,0.107,0.08,0.3423689305782318,0.7217138409614563,,False,1.0,5
0,0.001,0,1,3,1,2,111,2700,0.034,0.111,0.057,0.118,0.244,0.132,0.3336178958415985,0.8001013398170471,,False,1.0,6
0,0.001,0,2,3,1,2,111,2800,0.04,0.114,0.072,0.141,0.297,0.145,0.3366734087467193,0.7893257737159729,,False,1.0,6
0,0.001,0,3,3,1,2,111,2540,0.04,0.114,0.072,0.141,0.301,0.146,0.3367660939693451,0.7866405248641968,,False,1.0,6
0,0.001,0,4,3,1,2,111,1780,0.039,0.107,0.068,0.133,0.247,0.16,0.3359201848506927,0.793402910232544,,False,1.0,6
0,0.001,0,5,3,1,2,111,2770,0.039,0.113,0.065,0.137,0.294,0.138,0.3353097438812256,0.7905376553535461,,False,1.0,6
