,genotype,random_sees,validation_rMSE,train_rMSE,test_rMSE,validation_shapDTW,train_shapDTW,test_shapDTW,predicted_r,predicted_y_max
282,282,2,0.10171109534986175,0.04004715634491867,0.14038187241496147,0.22366535751656777,0.14483516414462483,0.10447263975481577,0.1069475615867293,0.8850994281738099
282,282,3,0.10171113425154085,0.04004715030204395,0.14038185103842185,0.22366563784777896,0.1448351408748482,0.10447278578048634,0.10694756690351592,0.8850992390528589
282,282,4,0.10171103498592876,0.0400471504458253,0.1403819436835959,0.223665509465729,0.14483516078941844,0.10447276935115951,0.1069475756074254,0.8850993036562855
282,282,5,0.10194205771070139,0.040036539277578984,0.14025322794831077,0.22524083208508053,0.14466426423967582,0.10532932006426682,0.10697660261069866,0.884027331274905
294,294,1,0.07285574746466933,0.043411708795147344,0.15424191037813428,0.1580389839768159,0.14285025651005334,0.14421077088575757,0.10497508715552338,0.958445694226426
294,294,2,0.07285574746062236,0.04341170577379912,0.1542419143810659,0.15803895255298575,0.1428502693693799,0.1442108198567161,0.10497508591751994,0.9584457281405396
294,294,3,0.07285562278487753,0.04341170951111788,0.15424200526923054,0.15803896260293862,0.14285036989005911,0.14421066397777305,0.10497510316377354,0.9584456012670646
294,294,4,0.07285575458646175,0.043411710348768444,0.15424190536879306,0.15803898197140406,0.14285025676456858,0.14421078202220408,0.10497508611243786,0.9584457030206859
294,294,5,0.07285574787423808,0.043411710202926355,0.15424190978720664,0.15803898624371235,0.14285025571475662,0.14421076781579414,0.10497508718670523,0.9584456921643792
301,301,1,0.08238224759810298,0.0445720179977745,0.10956597823489624,0.16743713861575996,0.15066065219700542,0.17490866313060555,0.1048167941135188,0.9539263665096797
301,301,2,0.0823822737068359,0.04457200459250804,0.10956618978067753,0.1674387705855328,0.1506618452147566,0.17491004948817687,0.10481685083508539,0.9539248939118423
301,301,3,0.08238225584779105,0.04457201758699373,0.10956597164661182,0.16743714364789145,0.15066064704559531,0.174908667328337,0.10481679332657717,0.953926364337288
301,301,4,0.0823822161243295,0.04457201281394203,0.10956599951900224,0.1674370926481113,0.15066064439725724,0.17490862435846238,0.10481679612835432,0.9539263990874893
301,301,5,0.08238226870576516,0.04457201680471734,0.10956594630890586,0.16743704669626527,0.15066065792474076,0.17490858483826194,0.10481678826271199,0.95392645599541
302,302,1,0.084072413584514,0.048342635417519056,0.12202992412595921,0.18175205634723413,0.14607199757024575,0.12717383076214497,0.10156291720415245,0.9181860645557114
302,302,2,0.08397650493757018,0.04830783649055569,0.12209521036622512,0.1814470918235055,0.1460521143610621,0.12687955726828906,0.10156193453535348,0.9184572067361559
302,302,3,0.08407227340250768,0.04834262324037582,0.12203005909244126,0.18175226412518566,0.14607236611226376,0.12717400171529844,0.10156293971127497,0.9181858600207156
302,302,4,0.08407224660437919,0.04834262319118074,0.12203008155311768,0.18175224962195213,0.14607236098934678,0.1271739837516217,0.10156294200191765,0.9181858713829242
302,302,5,0.08407226063111924,0.0483426289909209,0.122030069535917,0.1817522529889909,0.1460724061070405,0.12717398920324383,0.10156294064325662,0.9181858693721225
335,335,1,0.03673811367026372,0.04990655504256228,0.09874958117735791,0.07460888508041219,0.14418410844195775,0.12461840024688428,0.10462441702974543,0.7321178782610072
335,335,2,0.036738324600873215,0.04990656450672973,0.09874949706617102,0.07460921460166248,0.14418356664130078,0.12461768579561765,0.1046243690532607,0.7321184772811902
335,335,3,0.03673823149466791,0.049906572488268845,0.09874968030220178,0.07460941051728916,0.14418333386616966,0.12461740532567905,0.10462438822857087,0.7321187095385842
335,335,4,0.036738324167687283,0.04990656383050718,0.0987494952629781,0.07460920930832891,0.14418359097644404,0.12461769532088995,0.10462436917889992,0.7321184693340783
335,335,5,0.03673834159853138,0.04990656448517626,0.09874947268174578,0.07460920001966721,0.14418357876234203,0.12461770003750612,0.1046243654321167,0.7321184656919912
339,339,1,0.06452084257463225,0.02982623159026192,0.06967652127973187,0.09609935045141224,0.10274711589861686,0.09142610787777898,0.10240197999659992,0.7312486815152092
339,339,2,0.06452085224988091,0.02982622255084019,0.06967651176958864,0.09609936409076564,0.10274706300219205,0.09142614859352681,0.10240197964805228,0.7312486547491077
339,339,3,0.06452062613257802,0.029826226269505547,0.06967666531489762,0.09609975194157132,0.10274760570913768,0.09142706730966862,0.10240204059800985,0.7312477525785905
339,339,4,0.06452085807736062,0.0298262276865498,0.06967651591962384,0.09609927073130374,0.1027470521636896,0.09142590425393317,0.10240197184284724,0.7312488582504078
